"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='9.675GHz' IWavePhi='0deg'"
0,2.63023937800224
6,0.192852129071303
12,0.0429407746475949
18,0.00940501846912513
24,0.00374803352052574
30,0.00107913924779413
36,0.00102680437930431
42,0.000584372603470112
48,0.000437230833693625
54,0.000496385343909929
60,0.000719419790307398
66,0.000839016649326209
72,0.000420013271249697
78,0.00043249078005396
84,0.000641858030252302
90,0.000751714731053603
96,0.000702146659628563
102,0.000556130435971667
108,0.000597932302885394
114,0.00106132699508706
120,0.000941157176091993
126,0.00059862541433988
132,0.000954921371893871
138,0.000587928397886084
144,0.00138251459298006
150,0.000761187980373403
156,0.00399561565102625
162,0.00998401633285036
168,0.043775199686178
174,0.191063676107763
180,2.63082837710874
186,0.19316687645299
192,0.0436351953714219
198,0.00991680963090385
204,0.00388076086150741
210,0.000721457659560953
216,0.00130118241304583
222,0.000444633721219684
228,0.00061263307686712
234,0.000324301637850001
240,0.00086221217661401
246,0.000783693372590698
252,0.000373304347069697
258,0.000636837793781937
264,0.000922291746491825
270,0.00098373987071205
276,0.000845220831609129
282,0.000563327210691502
288,0.000474677332329696
294,0.000934960173475864
300,0.000839472497501285
306,0.000502525644325717
312,0.000631462559196902
318,0.000687527573790359
324,0.00125109148507693
330,0.00110085969033046
336,0.00359299133341672
342,0.0100368949435943
348,0.0422887178244856
354,0.19202078145897
360,2.63023937800224
