"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='9.675GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='9.675GHz' IWavePhi='90deg'","MonostaticRCSTheta [] - Freq='9.675GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='9.675GHz' IWavePhi='90deg'"
0,12.7524018004483,0.100078516036666,1.59946608608579E-05,1.29653799681449E-05
6,0.0565913670092718,0.00781686100821852,1.00891966670094E-05,1.14263475639833E-05
12,0.00111457754741091,0.00240923094190744,3.23404275740424E-05,3.21797476252013E-05
18,0.00348825528201134,0.00175894073711693,6.49297154601395E-06,3.21326826845901E-06
24,0.00136269340173258,0.000660232937883074,2.2380559494682E-07,4.26769237613256E-07
30,0.000443711729500786,0.000984404315792557,1.16413898034361E-05,2.39571414083114E-05
36,0.000505267341608377,0.000722246093360156,1.74231309777537E-05,7.89609412095528E-06
42,0.000846000468158857,0.000800795263731676,2.74619573117785E-06,6.49133060334725E-07
48,0.000848624475706019,0.000750607053040467,1.22120229105527E-07,2.95001271853155E-07
54,0.00055876406397352,0.000944002525028511,2.2018768333637E-07,1.48204297456305E-07
60,0.000386196156711669,0.000892750629788944,2.74370529546722E-07,3.69823838039479E-09
66,0.00105276661338524,0.00185142576790618,3.70317297341018E-08,1.98207247688246E-07
72,0.00303633926467928,0.00256854994290112,2.66490529175363E-08,1.9911537788926E-07
78,0.00116210170660265,0.00701692995652606,6.94071659759857E-08,5.42411774295367E-08
84,0.0536898081541418,0.0810178172990748,1.5908161223968E-07,1.05802852928856E-07
90,12.9490697395549,0.0807350229595735,1.89450699386234E-08,4.10520412416398E-07
96,0.0532400441284011,0.00710084539003277,5.20876965112624E-08,2.28953964406778E-06
102,0.00120271576174773,0.00271860558302619,5.74937514724461E-08,2.20709397657512E-07
108,0.00294511322462638,0.0020552394399897,1.06942235539427E-08,3.46310734326279E-07
114,0.00108428286065468,0.000816468342272942,7.38954343020328E-07,2.3461156270207E-07
120,0.000381031319236552,0.00111791319665507,9.66798341234732E-07,1.86031363478902E-06
126,0.000516881442353035,0.000658465387150487,1.87599927059327E-06,7.11573816620705E-07
132,0.000910784903248222,0.000912952310957638,1.52187623982495E-07,5.47350989918256E-07
138,0.000929272641535447,0.000656707904165361,2.42442411586844E-06,7.91489452870564E-06
144,0.000405789148540467,0.00107852132421404,1.76800277588339E-05,1.91481969285931E-05
150,0.000445837748375188,0.000592259389777341,1.19268342714781E-05,1.55749184129232E-05
156,0.00155057347132311,0.00137460105442334,1.04340059432372E-06,1.59115733741028E-05
162,0.00448931354829191,0.00191119089518824,2.7197481335099E-05,2.38114149899646E-05
168,0.00128141422755317,0.0071009557574687,2.59728122513998E-05,8.90523724851307E-06
174,0.0590220260105587,0.101688783301626,7.06523034854632E-06,8.46939675609764E-06
180,12.752400853805,12.7984433968577,1.59945166481878E-05,1.55775995845202E-05
186,0.094858375579899,0.0572820589997456,1.54987410487696E-05,5.11287929575455E-06
192,0.00866087232637132,0.000281132570283423,5.06549838618055E-06,7.97035198891327E-06
198,0.0018322841226309,0.00385941943172877,2.05910816531105E-05,1.52464333810067E-05
204,0.00180950497442898,0.00105198367553597,5.17848916164475E-07,8.12272244657412E-06
210,0.000697787536679067,0.000513284195290105,1.99180466712997E-05,4.61223968666683E-05
216,0.000914699411584313,0.000408536052444007,5.72272211777675E-05,3.61301796256555E-05
222,0.000627385452368193,0.000830214763056441,1.43422209821997E-05,4.28459085942703E-06
228,0.000810447177657409,0.000836647285796005,1.12719418634007E-06,5.8143159909562E-07
234,0.000641425643215597,0.00045200476341879,7.94570075960875E-07,6.22578626618923E-07
240,0.000940879777148962,0.000383823602358078,2.38021811131202E-07,2.77342173944551E-07
246,0.000823075432226481,0.000986402786253311,3.07078383033617E-07,2.47566682719728E-07
252,0.00200929887454318,0.00290256533370455,2.88370713013261E-07,3.25429827041078E-07
258,0.00245723079580866,0.00110006158433787,1.18442279754316E-07,6.44534049888305E-07
264,0.00710966275290163,0.0534128894751805,3.54191957513305E-07,1.48902134464437E-07
270,0.0826382958400916,12.9609020134343,4.16503028769315E-07,4.18588771115539E-08
276,0.0827459078533665,0.0537937399168259,6.83908880274104E-08,1.18165813984602E-07
282,0.007339741118417,0.00120601992252316,3.10466778997904E-07,1.33665979805111E-07
288,0.00249453755610581,0.0030927874821253,5.0301483823288E-07,7.4690421703281E-07
294,0.00197435105856919,0.00112049353500891,3.71150885243426E-09,6.13188053984825E-08
300,0.000792821141866987,0.000325137713673747,2.02711828350587E-07,2.97246031739965E-08
306,0.000927491025158539,0.000524386596336157,1.10249331795246E-07,3.11656908083479E-08
312,0.00069089779707385,0.000775255036502826,1.10156274603734E-07,5.54559376913991E-08
318,0.000734805940121151,0.000799159689499192,1.08197052809127E-08,1.64868052743333E-07
324,0.000693747256676196,0.000448297305849153,1.80532844616069E-06,8.54744620890791E-06
330,0.000894306189315096,0.000475682535151325,1.72289472509997E-05,1.26659914739796E-05
336,0.000724755155588358,0.000940459943749453,1.1872291965626E-06,1.67260946530476E-05
342,0.00174941098655411,0.00361778373351121,3.22584896567178E-05,3.52829780904351E-06
348,0.00171923318780441,0.000359398598174056,3.93866198946159E-05,2.29929938993446E-05
354,0.00830388435211747,0.0577762061060171,5.5126197793554E-06,4.53393272681938E-07
360,12.7524018004483,0.100078516036666,1.59946608608579E-05,1.29653799681449E-05
