"IWaveTheta [deg]","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTotal [] - Freq='3.24GHz' IWavePhi='90deg'"
0,1.69536343662885,0.907147723126254
6,0.0715478167959115,0.0577640586975079
12,0.0524634405135924,0.015708101676149
18,0.025434391717593,0.0121105996939637
24,0.0114834046945452,0.0200509041444275
30,0.0167551293895596,0.00900110402070146
36,0.0057824628809305,0.00652955553263081
42,0.00809795266795353,0.0087571885278905
48,0.00806787870784041,0.00643643307182246
54,0.00560249221864841,0.00877822141809507
60,0.0165708434299962,0.0199147643586812
66,0.0116101590733661,0.013045207625576
72,0.0265353769821207,0.0154658321017963
78,0.0510152849141535,0.0549141051836538
84,0.0689080372573126,0.903274438447678
90,1.68480369954924,0.899722099092721
96,0.0687805842551207,0.0552400106467268
102,0.0510180543796502,0.0157730760516496
108,0.0263895641151949,0.0126282581021612
114,0.0113220142658086,0.0199275683340162
120,0.0166994007672128,0.00875693965144652
126,0.00541722544022928,0.00621548857236122
132,0.00789346507493619,0.00862586512601641
138,0.00796466890423546,0.00636581940483492
144,0.00564717784121642,0.00904698289520527
150,0.0170180828756837,0.0202105926129972
156,0.0113945419843921,0.0122083379452265
162,0.0254555548196073,0.0151717021862767
168,0.0520880963865088,0.0570167063899479
174,0.0712961491476837,0.908626715525676
180,1.69536343651303,1.69462540485421
186,0.908685637144717,0.0711512925081385
192,0.0572436243184347,0.0537835099490391
198,0.0156155085899985,0.0250154872924723
204,0.0123733587387161,0.0117105022566308
210,0.0200281545218819,0.0165338796429964
216,0.00856714839433847,0.00523045921376993
222,0.00598511458314331,0.00760431077781149
228,0.0082768785977085,0.00755060834659605
234,0.00589387744350416,0.00514458839710348
240,0.00848290617005589,0.0162097773247231
246,0.0191931638624385,0.0110256368732059
252,0.0129953603736695,0.0260814518420782
258,0.0151965039001804,0.050389901519503
264,0.0524269137425157,0.07098451252182
270,0.907743201927416,1.68786897839411
276,0.904623749665772,0.0701540957009853
282,0.0543779488576408,0.0510647480526341
288,0.0154589940037501,0.0261317998519918
294,0.0129193333642287,0.0113799939695902
300,0.0193266614375437,0.0159708969176781
306,0.00837543976809515,0.0053259459768218
312,0.00619063733419002,0.007813621667832
318,0.00847584072051177,0.00777114616759493
324,0.00615196406961174,0.00538962837870574
330,0.00865512960353177,0.0164385280543766
336,0.0196801278577274,0.0112461289826715
342,0.012119699159087,0.025145009282425
348,0.0156706101969551,0.0520028645248112
354,0.0547298068575399,0.0716798513879427
360,1.69536343662885,0.907147723126254
