"IWaveTheta [deg]","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSPhi [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='0deg'","MonostaticRCSTheta [] - Freq='3.24GHz' IWavePhi='90.0000000000002deg'"
0,0.00024024708200748,1.83072731759297E-07,3.16906969578102,1.73089638108113E-06
6,1.7761148184554E-06,1.46830153580542E-06,1.65364397457251,0.000244063279261407
12,0.000291184455391981,0.000375022097214042,1.60091922602442,5.28693350888057E-05
18,0.00112441821675617,0.00142179260471838,0.0884498538469617,0.000608392266745758
24,0.00508907010679388,0.000241115075052946,0.0826651552038371,0.000445847052119231
30,0.00306661577797658,0.000370363840737621,0.0988810760231773,0.00199040205145078
36,0.00481912531647942,0.00242689019125345,0.0385300027346434,0.000482846266316797
42,0.000572989543966054,0.00362061269835906,0.0192830380163597,0.00161285144869425
48,0.000602430859652626,0.000428627410498846,0.00030124400994415,0.00483996379775231
54,0.000488770464028749,3.53853465916925E-05,0.000400198511601485,0.00525411870638233
60,0.000922059102613561,0.00224057401086042,0.00377260386034636,0.00673562229408471
66,0.000642954841530818,0.000850678323852164,0.000118009544287219,0.00578851909372557
72,0.000231961054922848,0.000524055922974644,0.000604233346761675,0.00356598548875581
78,0.000541462758964563,0.000461201232382095,0.000125459574223958,0.000429384869651346
84,0.000757083750519469,0.00108515864972915,9.67075385676446E-06,0.00090706648047975
90,0.00107079432163952,0.000668727274489855,0.00103133969856078,3.04392682612866E-05
96,0.000167140842046567,7.75672897396413E-05,0.00153620694375062,0.000226311314879903
102,0.000266726966890105,0.000388322553522177,0.0055255011384829,0.000885616705969584
108,8.58283201456809E-05,0.000841563191999121,0.00896332845770216,0.00233734433321244
114,1.09184163356512E-05,0.00084258491670055,0.0121338133034657,0.00270614557123236
120,0.000242756125235487,0.00116314506143252,0.0119558309764883,0.00193989830230391
126,6.94988172930024E-05,0.00102880042305313,0.00877409252969939,0.000872686482287438
132,0.00264867963886083,0.00202454437449554,0.00905642743520096,0.000381829261483497
138,0.00251023783948656,0.000198414622070121,0.00351098945479347,0.0419355577383013
144,0.00161317557827042,0.000430076027433974,0.00554079228369368,0.0531094940906334
150,0.000928360970454469,0.0032618900243879,0.00115572529718302,0.0285053577233194
156,0.0012303426586738,0.00220766197304525,0.000211593762838596,0.0445245928819885
162,0.000225861818237965,0.00218472656726042,7.45661470606376E-07,1.01449937898644
168,0.000890394901259922,0.000716829414063092,0.000354299854667506,1.0329908738135
174,3.67934458277659E-06,0.000467669516757957,3.18334528067835E-05,3.39231253797191
180,5.91341682874749E-06,8.10752760308078E-07,3.88549952119633E-05,3.49422080832228
186,1.45659194890798E-06,0.000218276649628715,0.000528379050904888,3.41482802185437
192,0.000696602315111391,0.000637324288983953,0.000229001560416045,1.02257845372592
198,0.00289123888749585,0.00229151907140851,0.0017389556631647,1.01575908296338
204,0.00110836894794454,0.0018769339431399,4.78135873286734E-05,0.0470391490406745
210,0.00197753376130557,0.00414530387933819,0.000561943113711836,0.026910068451527
216,0.00130200696219589,0.000397916513956167,0.00492638862393744,0.0546543636111902
222,0.00087947287153782,0.000189114940832162,0.0105940450461376,0.042774247526563
228,0.00264426873867587,0.00167941103474994,0.00798032106245679,0.000301616114555298
234,0.0007754891824999,0.00119443221608313,0.00810869398158208,0.000725984960227657
240,0.000177721701166566,0.00107835061085895,0.0111077573150946,0.00179244735276381
246,0.000617487883332628,0.000887773863213355,0.00598525133720874,0.00229163087315793
252,8.45465123845218E-05,0.00095258818774828,0.00799735470294596,0.00213224841531076
258,0.000103786420380478,0.000238476190269502,0.00298514632879836,0.000970746482009242
264,0.000170448472337515,0.00016941448113553,0.00148225659936776,0.000215707968300522
270,2.91397056639501E-05,0.000732444586104704,0.00058685914898788,1.78812990199711E-06
276,0.00070564296082802,0.00120225566066323,2.17168286927262E-05,0.000841971449634823
282,0.000269440385108667,0.000624686883587568,0.000125373357185173,0.000442836284941827
288,0.000292581038009315,0.000516042357467713,0.000378024913512494,0.00382411754892511
294,0.000406092744700553,0.000965943878331931,0.00370264288942738,0.00572789001316883
300,0.00103607542776102,0.00200550753678576,0.00317824805358232,0.00719934154538833
306,0.00112924173751164,2.46342716972957E-05,0.00420322916437825,0.00583793082920264
312,0.000741490600021936,0.000466046192969965,0.000475221107633655,0.00499310115910194
318,0.00272433637953649,0.00323248857157614,0.00714253738763583,0.00159736738167225
324,0.00406168032475075,0.00247457266658377,0.0385788787423878,0.000432990065393208
330,0.00468234977758148,0.000266569722181974,0.0910663327261587,0.00199169620762745
336,0.00380622833833606,0.000261481466714957,0.0883587949184403,0.00043836295346645
342,0.000645412781184293,0.00144101489906039,1.60329408648001,0.000575085753981633
348,0.000125212102604288,0.000390012107980665,1.64673226751251,4.61891226990055E-05
354,0.000453369301057594,1.46830155195937E-06,3.1825829811085,0.000244063279121201
360,0.00024024708200748,1.83072731759297E-07,3.16906969578102,1.73089638108113E-06
